customer_id,customer_name,email,registration_date,customer_type
CUST0051,Kimberly Ball,michaeljones@example.net,2024-12-06,REGULAR
CUST0052,Mary Martinez,william65@example.com,2026-06-30,REGULAR
CUST0053,Cameron Fisher,lbyrd@example.net,2025-12-13,REGULAR
CUST0054,Joshua Smith,jason99@example.net,2024-11-24,PREMIUM
CUST0055,Jeremy Lewis,yleon@example.net,2024-04-01,REGULAR
CUST0056,Diane Beck,clarence34@example.org,2024-05-17,VIP
CUST0057,Angel Riggs,gibsonolivia@example.net,2024-05-10,PREMIUM
CUST0058,Janet Ross,dianasmith@example.org,2025-05-03,REGULAR
CUST0059,Robert Dominguez,pwilliams@example.org,2025-06-21,REGULAR
CUST0060,John Schmidt,stephanie79@example.net,2025-09-04,VIP
CUST0061,Terry Griffin,juliawells@example.com,2024-07-31,REGULAR
CUST0062,Destiny Strickland,rsims@example.com,2023-11-10,REGULAR
CUST0063,Cynthia Rogers,taylorjesse@example.net,2024-03-06,REGULAR
CUST0064,Amy Russell,nperry@example.com,2025-03-09,REGULAR
CUST0065,Lauren Dominguez,wwoods@example.com,2025-03-09,REGULAR
CUST0066,Tiffany Barnes,tracynelson@example.com,2023-08-27,VIP
CUST0067,Michael Yates,marycalhoun@example.net,2025-10-19,REGULAR
CUST0068,James Elliott,millerroy@example.com,2024-04-20,REGULAR
CUST0069,James Lewis,matthew64@example.com,2024-08-07,VIP
CUST0070,Julie Curry,cookemichael@example.net,2023-10-27,REGULAR
CUST0071,Marissa Webster,jamessmith@example.org,2024-07-17,VIP
CUST0072,Michael Elliott,stevenscott@example.com,2024-03-29,REGULAR
CUST0073,Tracey Higgins,tamirodriguez@example.org,2024-11-08,REGULAR
CUST0074,Susan Brooks,charlesvaughn@example.net,2024-07-24,REGULAR
CUST0075,Raymond Jefferson,hoganashlee@example.org,2025-01-02,PREMIUM
CUST0076,Mary Jones,alexander67@example.org,2025-05-16,REGULAR
CUST0077,Madison Poole,ryangross@example.net,2024-09-04,REGULAR
CUST0078,Tamara Hampton,ugraham@example.net,2024-09-01,PREMIUM
CUST0079,David Michael,nicole37@example.net,2026-02-15,REGULAR
CUST0080,Gabrielle Snyder,hunter35@example.com,2024-12-22,REGULAR
CUST0081,Kyle Beard,blackjames@example.org,2025-04-04,PREMIUM
CUST0082,Peter Vaughn DDS,bwest@example.org,2024-10-12,REGULAR
CUST0083,Michael Torres,thomas85@example.com,2025-11-13,PREMIUM
CUST0084,Michael Nelson,jerry35@example.org,2025-10-22,VIP
CUST0085,Melissa Lee,lhill@example.net,2026-01-25,REGULAR
CUST0086,Brian Lee,michaelturner@example.net,2025-10-19,PREMIUM
CUST0087,Angel Brown,heidi27@example.org,2023-08-01,REGULAR
CUST0088,Julie Alexander,tammyking@example.com,2024-01-06,REGULAR
CUST0089,Jennifer Jones,hernandezlisa@example.com,2023-11-22,REGULAR
CUST0090,Bailey Duran DDS,kimberlyjames@example.com,2024-10-16,REGULAR
CUST0091,Wanda Torres,lynchjody@example.org,2026-03-10,REGULAR
CUST0092,Matthew Moore,andreamoore@example.com,2025-06-11,REGULAR
CUST0093,Julie Johnson,jasmine71@example.net,2024-07-09,REGULAR
CUST0094,Rachel Weber,ronaldstephens@example.net,2024-02-29,REGULAR
CUST0095,Samantha Jones,lauralarson@example.net,2024-10-03,REGULAR
CUST0096,John Torres,gbender@example.net,2025-08-18,REGULAR
CUST0097,Kyle Preston,cassandra01@example.org,2026-05-25,REGULAR
CUST0098,Laura Sampson,barbara27@example.net,2026-04-20,REGULAR
CUST0099,DONALD SHEA,fwalters@example.org,2025-07-12,REGULAR
CUST0100,Gary Santiago,marksteele@example.com,2026-05-07,REGULAR
CUST0101,Robin Pierce,qmiller@example.com,2024-01-09,REGULAR
CUST0102,Jennifer Robertson,sandovalamy@example.com,2023-10-05,VIP
CUST0103,Isaiah Avila,nwolf@example.com,2025-11-12,REGULAR
CUST0104,Dwayne Gilmore,omartinez@example.net,2024-07-18,REGULAR
CUST0105,Emily Smith,hdavis@example.com,2024-01-11,PREMIUM
CUST0106,Brittany Cantu,william46@example.com,2025-07-15,REGULAR
CUST0107,Juan Reyes,michellehill@example.com,2024-12-21,REGULAR
CUST0108,Katie Hoover,jessica99@example.net,2025-08-11,PREMIUM
CUST0109,Jill Washington,andrea86@example.com,2024-11-23,PREMIUM
CUST0110,Veronica Allen,xhall@example.com,2023-09-18,PREMIUM
CUST0111,John Mcintyre,qhughes@example.net,2024-03-05,REGULAR
CUST0112,Andrew Shaw MD,sawyerscott@example.net,2025-06-21,REGULAR
CUST0113,Charles Pitts,charlesharrington@example.com,2024-12-19,REGULAR
CUST0114,Jennifer Miller,melissa86@example.com,2026-03-12,REGULAR
CUST0115,Olivia Brennan,williamsonjimmy@example.net,2024-10-01,REGULAR
CUST0116,Nicole Hamilton MD,wallaceheather@example.org,2023-09-22,PREMIUM
CUST0117,Anthony Howard,hthomas@example.com,2025-12-08,PREMIUM
CUST0118,Catherine Thompson,pharvey@example.com,2026-01-03,VIP
CUST0119,Joel King,elizabeth74@example.net,2025-11-08,REGULAR
CUST0120,Jeremy Reed,danielle64@example.com,2024-10-24,VIP
CUST0121,James Webb,patrickhoward@example.com,2026-07-03,REGULAR
CUST0122,William Barrett,alan09@example.net,2025-08-22,REGULAR
CUST0123,Stephanie Parsons,catherinegomez@example.net,2024-05-03,VIP
CUST0124,Megan Le,courtneyberger@example.net,2023-09-12,REGULAR
CUST0125,Jeremiah Riley,christopherphillips@example.net,2025-04-18,REGULAR
CUST0126,Carlos Ryan,alyssa42@example.com,2025-07-30,VIP
CUST0127,Elizabeth Harrell,mcdonaldcharles@example.org,2026-05-28,REGULAR
CUST0128,Veronica Coffey,christopher60@example.com,2025-10-23,REGULAR
CUST0129,Jacob Curry,brenda51@example.net,2024-07-10,PREMIUM
CUST0130,Manuel Hahn,rose31@example.net,2025-07-03,REGULAR
CUST0131,Elizabeth Ortiz,brandonjohnson@example.com,2024-01-09,REGULAR
CUST0132,Stephen Taylor,vwatson@example.net,2025-10-29,REGULAR
CUST0133,Patrick Moore,fpena@example.net,2025-04-06,REGULAR
CUST0134,Diana Vaughn,scottsampson@example.com,2023-12-14,PREMIUM
CUST0135,Mrs. Stephanie Newman,sandersjames@example.org,2025-06-18,REGULAR
CUST0136,Daniel Fowler,williamsmatthew@example.org,2025-12-06,VIP
CUST0137,Ronald Spencer,lisahall@example.org,2026-01-23,PREMIUM
CUST0138,Scott Thomas,amberlindsey@example.org,2026-05-04,VIP
CUST0139,Bonnie Howard,briannasmith@example.com,2023-10-02,REGULAR
CUST0140,Jason Wilson,alvarezkimberly@example.net,2026-01-20,PREMIUM
CUST0141,Jonathan Dougherty,acostaregina@example.net,2025-09-30,REGULAR
CUST0142,Mason Johnson,bboone@example.net,2023-12-27,PREMIUM
CUST0143,Theodore Jones Jr.,cameronhill@example.net,2026-01-07,REGULAR
CUST0144,Erika Vang,shawn96@example.org,2026-07-07,REGULAR
CUST0145,Matthew Rich,russellbeasley@example.com,2024-12-20,REGULAR
CUST0146,Jennifer Blair,ronald45@example.org,2026-06-13,REGULAR
CUST0147,Andrea Decker,reynoldsjulie@example.com,2024-01-31,PREMIUM
CUST0148,Laurie Hoffman,elizabeth65@example.net,2025-04-30,PREMIUM
CUST0149,Michelle Schmitt,michael98@example.org,2024-03-09,REGULAR
CUST0150,Courtney Rodriguez,danny49@example.org,2025-05-09,REGULAR
CUST0151,Vanessa Cardenas,lynchdiane@example.net,2024-08-31,REGULAR
CUST0152,Donald Farmer,michael22@example.net,2026-04-29,REGULAR
CUST0153,Charles Schultz,davisalyssa@example.com,2025-04-25,REGULAR
CUST0154,Christopher Collins,kimberly99@example.org,2023-10-02,REGULAR
CUST0155,Paul Williams,nelsonebony@example.com,2026-02-10,REGULAR
CUST0156,Donald Fischer,reeddaniel@example.net,2026-05-31,REGULAR
CUST0157,Kelsey Parker,randallgreene@example.org,2024-05-25,PREMIUM
CUST0158,Daniel Taylor,keith10@example.com,2025-05-11,VIP
CUST0159,james padilla,charles06@example.org,2025-06-26,VIP
CUST0160,Shannon Johnston,amckinney@example.com,2024-01-07,PREMIUM
CUST0161,Vincent Jackson,xcollier@example.org,2025-05-21,PREMIUM
CUST0162,Dana Chapman,fosterkyle@example.com,2024-06-21,REGULAR
CUST0163,Christopher Dixon,schmidtjames@example.com,2025-01-08,REGULAR
CUST0164,Sabrina Briggs,curtisscott@example.org,2026-02-02,PREMIUM
CUST0165,Peter Jones,kmarshall@example.net,2025-06-09,VIP
CUST0166,Sonia Day,michelle52@example.com,2023-10-27,REGULAR
CUST0167,Mark Hogan,bellcharles@example.com,2025-06-14,REGULAR
CUST0168,Jacob Mitchell,gilbertwilliam@example.com,2025-12-30,REGULAR
CUST0169,Rebecca Huang,kstout@example.net,2024-04-30,REGULAR
CUST0170,John Hernandez,hayeslisa@example.com,2023-11-21,VIP
CUST0171,Carrie Wright,hritter@example.net,2026-02-14,REGULAR
CUST0172,Jake Campbell,rschroeder@example.net,2023-10-02,VIP
CUST0173,Maria Jones,grantpaul@example.com,2026-04-27,VIP
CUST0174,Lindsey Hernandez,aguilardonald@example.com,2024-11-05,REGULAR
CUST0175,Melissa Myers,collinsnicholas@example.com,2024-01-27,REGULAR
CUST0176,Sandra Rodgers,lucasrodney@example.com,2023-08-10,VIP
CUST0177,Christopher Lewis,ilee@example.org,2023-11-09,REGULAR
CUST0178,Richard Romero,stanleynancy@example.net,2024-02-01,PREMIUM
CUST0179,Brittany White,jenniferwilliams@example.com,2026-05-28,REGULAR
CUST0180,Tracy Bishop,pyoung@example.com,2025-07-10,REGULAR
CUST0181,Cheyenne Gregory,smurray@example.com,2025-09-01,VIP
CUST0182,Tracy Montoya,moniquewilliams@example.com,2025-02-08,PREMIUM
CUST0183,Ashley Singleton,mitchellkathryn@example.com,2025-06-09,REGULAR
CUST0184,Brittany Kim,lisawilkerson@example.org,2025-04-17,PREMIUM
CUST0185,Jonathan Young,brooksanthony@example.org,2026-04-17,REGULAR
CUST0186,Charles Johnson,ihorton@example.net,2025-07-10,REGULAR
CUST0187,aaron miller,jason28@example.net,2026-02-12,REGULAR
CUST0188,Ashley Roberts,david36@example.net,2026-03-06,PREMIUM
CUST0189,Brian Stein,chenbailey@example.net,2024-02-21,PREMIUM
CUST0190,Aaron Gomez,qlopez@example.org,2025-10-03,PREMIUM
CUST0191,Andrea Fox,myerstheodore@example.net,2025-03-04,REGULAR
CUST0192,Mrs. Alexis Kramer,john19@example.net,2024-12-10,PREMIUM
CUST0193,Harold Morgan,mariacohen@example.net,2025-07-25,PREMIUM
CUST0194,Robin Brown,mjohnson@example.org,2024-05-17,REGULAR
CUST0195,Emily Collins,ihays@example.com,2024-08-09,PREMIUM
CUST0196,Matthew Mitchell,glennmartin@example.org,2025-02-03,PREMIUM
CUST0197,James Gonzales,lmorgan@example.com,2026-06-22,PREMIUM
CUST0198,Tim Stone PhD,mmillerexample.org,2025-11-06,REGULAR
CUST0199,Brian Murphy,kirk96@example.org,2026-06-18,PREMIUM
CUST0200,Jeremy Acosta,christina64@example.net,2023-10-10,REGULAR
CUST0201,Mark Cox,stephaniethomas@example.net,2026-05-31,REGULAR
CUST0202,Amanda Jones,michael90@example.net,2024-03-07,REGULAR
CUST0203,Tiffany Watson,berryalyssa@example.com,2024-11-12,REGULAR
CUST0204,Danielle Wilson,victorhughes@example.net,2024-01-11,PREMIUM
CUST0205,David Griffin,heather73@example.org,2024-02-08,REGULAR
CUST0206,Jodi Roach,zosborn@example.net,2024-11-20,REGULAR
CUST0207,Michelle Pierce,patricia22@example.com,2025-09-10,REGULAR
CUST0208,William Conner,kristyjohnson@example.net,2025-12-18,VIP
CUST0209,Robert Arnold,jonesraymond@example.net,2025-07-25,REGULAR
CUST0210,Patricia Morrow,martinezlogan@example.org,2025-06-11,REGULAR
CUST0211,JOSEPH ANDERSON,katrinaanderson@example.net,2023-10-07,VIP
CUST0212,Kelly Torres,marcusfletcher@example.com,2025-09-26,REGULAR
CUST0213,Sarah King,david49@example.net,2023-12-05,PREMIUM
CUST0214,Caroline David,georgeweber@example.net,2024-12-18,REGULAR
CUST0215,Kristy Bryan,millerstacy@example.net,2024-08-27,VIP
CUST0216,Pamela Butler,jimenezcourtney@example.com,2026-04-05,REGULAR
CUST0217,Karen Ballard,eevans@example.net,2023-10-14,REGULAR
CUST0218,Jason Marshall,catherine55@example.net,2024-12-30,REGULAR
CUST0219,Bianca Wood,floressteven@example.com,2025-06-10,PREMIUM
CUST0220,Brent Roberts,alin@example.org,2024-03-17,REGULAR
CUST0221,Taylor Griffith,kathrynjimenez@example.net,2025-07-07,REGULAR
CUST0222,Mr. Alexander Landry MD,jasongomez@example.org,2024-09-22,REGULAR
CUST0223,Stephen Pena MD,booneryan@example.com,2025-01-31,PREMIUM
CUST0224,Holly Morales,michaelroberts@example.com,2025-09-03,REGULAR
CUST0225,Joshua Bryan,andersoncolin@example.com,2024-12-20,REGULAR
CUST0226,Holly Thomas,cporter@,2024-02-10,REGULAR
CUST0227,Regina Stone,catherinerobertson@example.com,2026-02-19,REGULAR
CUST0228,James Jensen,brittney88@example.net,2025-08-11,REGULAR
CUST0229,Elizabeth Cabrera,mark16@example.net,2024-11-01,PREMIUM
CUST0230,Molly Watts,carlsonjoseph@example.net,2025-12-27,REGULAR
CUST0231,Mikayla Silva,alexandriagriffith@example.com,2024-02-27,REGULAR
CUST0232,Dana Armstrong,leescott@example.com,2024-03-04,REGULAR
CUST0233,Damon Shaw,vsalas@example.net,2023-10-17,PREMIUM
CUST0234,Kelly Hoffman,ufox@example.org,2025-06-26,REGULAR
CUST0235,Gloria Gomez,chelsea33@example.com,2025-11-25,REGULAR
CUST0236,Todd Hendrix,janet75@example.com,2025-01-04,REGULAR
CUST0237,Taylor Griffith,david86@example.com,2024-12-30,REGULAR
CUST0238,REGINA ROBERTS,stephanie15@example.com,2026-04-27,PREMIUM
CUST0239,John Harris,sarah42@example.org,2026-02-23,VIP
CUST0240,Cynthia Williams,danawilliams@example.com,2024-12-07,REGULAR
CUST0241,Ashlee Townsend,oconnelltiffany@example.org,2025-04-05,REGULAR
CUST0242,Shirley Alvarez,katelynmitchell@example.com,2026-04-11,REGULAR
CUST0243,Randy Pearson,amandasharp@example.org,2024-04-09,REGULAR
CUST0244,Ryan Peck,osbornrandy@example.com,2024-04-27,REGULAR
CUST0245,Tonya Howe,smithashley@example.org,2024-12-14,REGULAR
CUST0246,William Daniels,ismall@example.net,2025-07-09,PREMIUM
CUST0247,Robert Rivera,twong@example.org,2023-08-03,REGULAR
CUST0248,Rachel Bradley,gregorychase@example.com,2025-05-07,REGULAR
CUST0249,Angie Caldwell,tinawoods@example.org,2023-07-23,REGULAR
CUST0250,David Molina,kevin90@example.com,2026-04-23,REGULAR
CUST0251,David Contreras,zparker@example.net,2025-08-31,REGULAR
CUST0252,Stacy Carrillo,fowlershelia@example.com,2026-02-21,REGULAR
CUST0253,Tyler Mendoza,madkins@example.com,2025-04-18,REGULAR
CUST0254,Susan Todd,kathleenbecker@example.net,2023-11-17,REGULAR
CUST0255,Kelsey Cox,brownamy@example.net,2024-05-22,REGULAR
CUST0256,Brittany Murphy,nwilson@example.net,2026-01-03,VIP
CUST0257,Steven Griffin Jr.,williambryant@example.org,2025-11-27,REGULAR
CUST0258,Robert Cummings,ascott@example.net,2024-06-15,PREMIUM
CUST0259,Amber Cooper,weaverbrian@example.org,2025-07-15,PREMIUM
CUST0260,Jason Mack,ybrooks@example.com,2025-02-18,REGULAR
CUST0261,Michael Stanley,desireebailey@example.org,2025-10-24,REGULAR
CUST0262,Cameron Irwin,avilatiffany@example.com,2026-05-24,REGULAR
CUST0263,Jessica Gray,johnreed@example.com,2024-04-30,VIP
CUST0264,Molly Rodriguez,bmendez@example.org,2024-05-28,REGULAR
CUST0265,Kirk Griffin,sanchezbradley@example.com,2024-07-11,VIP
CUST0266,Nicole Parsons,williamroberts@example.net,2025-12-23,REGULAR
CUST0267,Kyle Chambers,joel28@example.org,2025-04-15,REGULAR
CUST0268,Antonio Fry,conniesimmons@example.com,2023-09-23,REGULAR
CUST0269,Teresa Powers,heather62@example.com,2025-02-16,REGULAR
CUST0270,Joshua Allen,kevinzimmerman@example.com,2023-10-10,PREMIUM
CUST0271,Tracy Grant,paulscott@example.com,2026-04-12,REGULAR
CUST0272,Jerry Watson,brettbennett@example.net,2026-02-03,VIP
CUST0273,Benjamin Ballard,timothybooth@example.com,2024-10-25,REGULAR
CUST0274,Alexis Giles,burgesskaren@example.org,2026-06-27,PREMIUM
CUST0275,Christine Herman,kimberly67@example.net,2026-04-15,REGULAR
CUST0276,Dennis Hunt,zowens@example.net,2025-07-11,REGULAR
CUST0277,Erica Harris,robert93@example.net,2024-02-24,VIP
CUST0278,Juan Silva,mphillips@example.com,2024-07-04,REGULAR
CUST0279,Roy Porter,jonathan77@example.com,2024-03-30,PREMIUM
CUST0280,Heather Taylor,iwhite@example.net,2023-10-12,PREMIUM
CUST0281,Sara Jones,duranrobert@example.net,2024-07-06,REGULAR
CUST0282,Chris Robinson,nbrooks@example.net,2026-05-13,VIP
CUST0283,Susan Hopkins,smithandrea@example.org,2023-08-07,REGULAR
CUST0284,Denise Madden,shawheidi@example.com,2024-04-16,PREMIUM
CUST0285,Brent Hernandez,christineking@example.com,2024-08-31,VIP
CUST0286,Angela Chung,scunningham@example.org,2024-10-20,REGULAR
CUST0287,Sarah Valdez,davisnicholas@example.net,2025-07-21,REGULAR
CUST0288,Adam Jackson,pbruce@example.com,2025-12-08,REGULAR
CUST0289,Valerie Jacobson,hallrachel@example.net,2025-12-09,REGULAR
CUST0290,Anthony Jones,rachel90@example.org,2024-11-12,REGULAR
CUST0291,Daniel Thomas,thickman@example.org,2025-12-05,REGULAR
CUST0292,ruben price,patrick21@example.net,2024-12-31,REGULAR
CUST0293,Jeffrey Roberson,cassie99@example.com,2024-12-01,REGULAR
CUST0294,Donald Riddle,jperez@example.com,2025-05-13,REGULAR
CUST0295,Kevin James,lauren11@example.com,2024-03-08,REGULAR
CUST0296,Richard Moore,gstewart@example.org,2023-07-21,REGULAR
CUST0297,Jill Juarez,andersonjacob@example.com,2025-11-24,VIP
CUST0298,Jennifer Johnson,angela99@example.com,2025-03-02,REGULAR
CUST0299,Jason Maxwell,ashleyjackson@example.com,2024-04-01,REGULAR
CUST0300,Eric Snyder,jacksonjoshua@example.com,2025-08-03,REGULAR
CUST0301,Heather Raymond,mwheeler@example.com,2023-12-26,REGULAR
CUST0302,Adam Foster,vbrock@example.com,2024-12-13,REGULAR
CUST0303,Rodney Curtis,kevinmorrison@example.net,2024-05-20,REGULAR
CUST0304,Christopher Sanders,kelly79@example.org,2024-11-30,PREMIUM
CUST0305,Robert Long,frederickjames@example.net,2024-04-17,REGULAR
CUST0306,Krista Benton,nhahn@example.com,2024-10-07,REGULAR
CUST0307,Andrea Abbott,ichambers@example.net,2024-10-25,REGULAR
CUST0308,Matthew Espinoza,mjones@example.com,2026-01-02,REGULAR
CUST0309,Jonathon Knapp,ystephens@example.com,2026-07-06,REGULAR
CUST0310,Kimberly Little,rodriguezjohn@example.net,2025-01-14,REGULAR
CUST0311,Lonnie Hart,vrasmussen@example.com,2023-12-24,PREMIUM
CUST0312,David Dixon,seanmyers@example.net,2026-01-12,REGULAR
CUST0313,Brittany Cuevas,agarcia@example.org,2024-01-09,VIP
CUST0314,Monica Bailey,stanley38@example.com,2025-01-04,VIP
CUST0315,Jeffrey Horton,carlos01@example.org,2024-12-26,REGULAR
CUST0316,Megan Martin,zacharyarnold@example,2025-11-28,REGULAR
CUST0317,Joel Salinas,jacobsandoval@example.com,2023-08-27,REGULAR
CUST0318,Sonya Cole,tprice@example.org,2024-05-27,REGULAR
CUST0319,Michael Flynn,lloydamanda@example.com,2024-11-30,REGULAR
CUST0320,Brian Lambert,orose@example.com,2026-01-25,REGULAR
CUST0321,James Wilson,megan92@example.net,2024-10-17,REGULAR
CUST0322,Leslie Powers,david41@example.org,2025-02-11,REGULAR
CUST0323,Kayla Barnes,baileyhenderson@example.com,2026-03-26,VIP
CUST0324,Tamara Arias,angelaburns@example.org,2024-04-28,REGULAR
CUST0325,Jerry Brown,stephanie72@example.org,2025-02-28,VIP
CUST0326,Kathy Simpson,cperry@example.com,2024-03-28,REGULAR
CUST0327,Andre Juarez,antonio38@example.com,2024-03-30,REGULAR
CUST0328,Krystal Barton,hdunn@example.net,2024-01-06,VIP
CUST0329,Joshua Ritter,wolfscott@example.org,2025-05-03,REGULAR
CUST0330,Ronald Potter,nancy07@example.com,2025-01-04,REGULAR
CUST0331,Angie Grimes,rowejoel@example.net,2026-01-11,VIP
CUST0332,Shannon Bishop,imartin@example.org,2024-05-29,REGULAR
CUST0333,Laura Patel,mariopadilla@example.com,2025-12-18,PREMIUM
CUST0334,Scott Duke,taylorkaren@example.com,2023-10-13,REGULAR
CUST0335,Sharon Martinez DVM,dustinmorris@example.org,2026-05-28,REGULAR
CUST0336,Charles Chen,ebrooks@example.net,2023-12-04,REGULAR
CUST0337,Paul Neal,shawn75@example.net,2023-07-16,REGULAR
CUST0338,Sarah Davis,sreid@example.com,2023-10-19,PREMIUM
CUST0339,Jennifer Donaldson,troymorris@example.com,2024-12-18,REGULAR
CUST0340,Bianca Phelps,patricia00@example.org,2026-03-11,REGULAR
CUST0341,Julia Martinez,scottsmith@example.com,2024-05-22,PREMIUM
CUST0342,Susan Khan MD,clarence54@example.org,2025-02-09,PREMIUM
CUST0343,Mariah Williams,jessica36@,2023-12-01,REGULAR
CUST0344,April Woods,brittneystone@example.com,2023-07-27,PREMIUM
CUST0345,Greg Martinez,ebenson@example.org,2024-07-02,REGULAR
CUST0346,Nicholas Garcia,michael42@example.com,2024-02-04,VIP
CUST0347,Megan Jones,bishopfrank@example.com,2024-06-07,PREMIUM
CUST0348,Brittany Jenkins,fheath@example.org,2024-02-15,VIP
CUST0349,Leah Cruz,iedwards@example.org,2024-09-15,REGULAR
CUST0350,Danielle Burke,kimberly04@example.org,2025-09-24,VIP
CUST0351,Chelsea Myers,bowerslaura@example.org,2025-08-19,REGULAR
CUST0352,David Little,ricetiffany@example.com,2024-11-15,REGULAR
CUST0353,Scott Carroll,amy27@example.org,2023-08-07,VIP
CUST0354,Alexis Lewis,fryraymond@example.com,2026-03-15,REGULAR
CUST0355,Pamela Henderson,imiller@example.net,2026-02-23,PREMIUM
CUST0356,Bradley Miller,terrimoore@example.com,2025-03-10,PREMIUM
CUST0357,Pamela Santos,collinssamuel@example.org,2023-10-10,REGULAR
CUST0358,Tim Wilson,parkerjudith@example.net,2024-04-10,REGULAR
CUST0359,Michael Miles,tylerreed@example.net,2024-08-18,REGULAR
CUST0360,Cameron Norman,jessica10@example.com,2025-05-09,VIP
CUST0361,Austin Joseph,crawfordwilliam@example.org,2025-08-27,REGULAR
CUST0362,Carol Moore,shannonemily@example.org,2024-07-01,PREMIUM
CUST0363,April Trevino,sanchezthomas@example.com,2024-03-02,REGULAR
CUST0364,Tyler Johnson,pwalker@example.com,2024-11-21,REGULAR
CUST0365,Blake Watson,whitelinda@example.org,2025-03-26,PREMIUM
CUST0366,John Campbell,mark87@example.org,2025-02-05,REGULAR
CUST0367,Justin Torres,stevenvargas@example.com,2024-05-11,REGULAR
CUST0368,Kimberly Flynn,adamortiz@example.org,2025-10-31,REGULAR
CUST0369,Ryan Wiley,aaron64@example.org,2024-05-26,PREMIUM
CUST0370,Cynthia Vasquez,kaufmandouglas@example.com,2023-12-04,PREMIUM
CUST0371,David Bruce,xhaynes@example.com,2023-11-21,REGULAR
CUST0372,Kathy Walsh,kjones@example.org,2025-05-18,VIP
CUST0373,Bianca Carter,sara65@example.com,2025-06-15,REGULAR
CUST0374,Benjamin Harris,moorefrank@example.com,2024-11-11,REGULAR
CUST0375,JOSHUA OCONNELL,shannonford@example.org,2023-11-30,REGULAR
CUST0376,Michael Mckenzie,lewismelissa@example.org,2023-12-01,REGULAR
CUST0377,Tracy Foster,byrdjorge@example.org,2023-08-30,REGULAR
